id,transcript,emo,v,a,d,n
MSP-IMPROV-S04A-M02-S-FM01,No..Can you have that right?.,N,3.6,4.2,2.6,3.6
MSP-IMPROV-S04A-M02-S-FM02,"Morning, puppy..I can't be that bad..",N,3.2,3.8,3.0,4.0
MSP-IMPROV-S04A-M02-S-FM03,How well.problem?.,N,3.0,4.6,2.4,3.6
MSP-IMPROV-S04A-M02-S-MF01,I'm telling you like stuff with everywhere. She chewed up all of my papers are on the desk everything everywhere. It was just every..,A,2.8,2.0,3.8,2.4
MSP-IMPROV-S04A-M03-P-FM01,Thank you..,H,4.0,3.6,2.6,4.6
MSP-IMPROV-S04A-M03-P-MF01,So angry do..,H,3.666667,3.666667,2.833333,4.0
MSP-IMPROV-S04A-M03-P-MF02,when i come.,N,3.2,4.0,3.4,4.2
MSP-IMPROV-S04A-M03-P-MF03,I wouldn't doubt it all up myself..,N,3.2,4.0,3.2,4.2
MSP-IMPROV-S04A-M03-P-MF04,How do I haven't?.,H,3.6,4.0,2.6,3.6
MSP-IMPROV-S04A-M03-P-MF05,Have not heard yet..,H,4.6,2.8,3.2,4.8
MSP-IMPROV-S04A-M03-P-MF06,After about my puppy maybe..,N,3.4,3.4,2.8,3.4
MSP-IMPROV-S04A-M03-P-MF07,"Nothing left, nothing ever all over the floor..",H,4.2,3.0,3.4,4.0
MSP-IMPROV-S04A-M03-P-MF08,The floor with completely covered..,X,3.5,4.0,3.166667,4.333333
MSP-IMPROV-S04A-M03-P-MF09,Longer..,H,3.4,4.4,2.4,3.8
MSP-IMPROV-S04A-M03-P-MF10,More angry..,N,3.4,4.4,2.6,4.6
MSP-IMPROV-S04A-M03-P-MF11,Your bare hands..,H,4.0,3.8,3.6,4.2
MSP-IMPROV-S04A-M03-P-MF12,OK..,H,4.166667,3.166667,3.333333,4.0
MSP-IMPROV-S04A-M03-P-MF13,there they are i.,N,2.8,4.6,3.2,3.8
MSP-IMPROV-S04A-M03-S-FM01,"Hey man, how did you look up Utah?.",N,2.8,3.6,3.2,3.8
MSP-IMPROV-S04A-M03-S-FM02,"Yeah, yeah..",N,3.4,3.6,3.6,5.0
MSP-IMPROV-S04A-M03-S-FM03,"Thank you, it sucks..",H,4.4,3.8,3.4,4.6
MSP-IMPROV-S04A-M03-S-FM04,Wait did you happen to be written up?.,N,2.833333,4.0,2.833333,4.0
MSP-IMPROV-S04A-M03-S-FM05,"Hey, how's the puppy doing?.",H,4.0,4.0,2.8,4.0
MSP-IMPROV-S04A-M03-S-FM06,Pick up so cute..,H,3.8,3.2,3.2,4.4
MSP-IMPROV-S04A-M03-S-FM07,Everywhere..,O,3.0,3.4,3.4,4.6
MSP-IMPROV-S04A-M03-S-MF01,"Only going alright I'm just earlier today, he he?.",N,3.2,4.0,2.6,3.4
MSP-IMPROV-S04A-M03-S-MF02,She is my couch just left things everywhere left the whole night..,X,3.2,4.2,3.0,2.8
MSP-IMPROV-S04A-M03-S-MF03,"You know just sometimes I don't know..Morning, she was..It's all over the floor..",X,2.5,3.833333,3.166667,3.833333
MSP-IMPROV-S04A-M03-S-MF04,The floor was completely covered..,N,3.2,4.4,3.0,3.8
MSP-IMPROV-S04A-M03-S-MF05,"If you are right sometimes, but I don't know I just can't believe with you guys..",X,2.4,4.0,2.8,4.4
MSP-IMPROV-S04A-M03-S-MF06,This earlier this morning I came home and there was just stopping all over the floor..,N,2.714286,4.0,3.285714,3.857143
MSP-IMPROV-S04A-M03-S-MF07,Yes..Please read the write up..,N,2.285714,3.571429,3.714286,4.142857
MSP-IMPROV-S04A-M03-S-MF08,The floor with the floor with completely covered..,N,2.571429,4.142857,2.714286,2.571429
MSP-IMPROV-S04A-M03-S-MF09,Alright sometimes but sometimes I can't believe with you guys..,N,2.8,4.2,3.6,3.6
MSP-IMPROV-S04A-M03-S-MF10,"I came home this morning. There was no stopping all over the floor, she was just something..",N,2.625,3.875,2.875,4.0
MSP-IMPROV-S04A-M04-P-FM01,That sounds like AI was at your house you know when we're at your house earlier was that before..,N,2.666667,4.0,3.166667,3.666667
MSP-IMPROV-S04A-M04-P-MF01,It's completely up..,S,2.285714,4.142857,2.428571,3.0
MSP-IMPROV-S04A-M04-S-FM01,"Um Hey, I need to swing at your house earlier? What was that mess all over the floor who made that..",X,2.6,3.0,2.8,2.8
MSP-IMPROV-S04A-M04-S-MF01,"The mess that was the new puppy. We got a new puppy that likes to chew on everything I told her I didn't wanna get the puppy, but she got the puppy..",A,1.6,2.0,4.4,4.0
MSP-IMPROV-S04A-M05-P-FM01,to an.,N,2.8,3.8,2.2,4.0
MSP-IMPROV-S04A-M05-P-FM02,i.,N,3.0,3.6,3.0,3.6
MSP-IMPROV-S04A-M05-S-FM01,F*** you.,H,4.5,3.166667,2.666667,3.833333
MSP-IMPROV-S04A-M05-S-FM02,"Well, it's about it was wrong..",N,3.0,3.6,3.0,4.0
MSP-IMPROV-S04A-M05-S-FM03,i thought he only body.,N,3.6,3.4,2.8,2.4
MSP-IMPROV-S04A-M05-S-FM04,You hate Bobby's..,N,2.6,3.0,3.0,2.8
MSP-IMPROV-S04A-M05-S-FM05,How bout with it?.,X,2.6,4.6,3.2,3.4
MSP-IMPROV-S04A-M05-S-MF01,"Oh my God, I hate him, I came home after school one day and like he ripped out to bits and their stuff everywhere..",A,1.5,3.166667,2.666667,2.833333
MSP-IMPROV-S04H-F01-P-FM01,i was political say a safari.,N,3.0,4.0,2.0,3.833333
MSP-IMPROV-S04H-F01-S-FM01,Wake up wake up it's Christmas..,H,4.8,1.6,4.0,3.6
MSP-IMPROV-S04H-F01-S-FM02,Yeah..Already went downstairs..,H,4.8,2.2,3.6,2.6
MSP-IMPROV-S04H-F01-S-MF01,"Oh, it is Christmas? How can I forget?.",H,4.285714,2.428571,4.285714,4.142857
MSP-IMPROV-S04H-F01-S-MF02,"Oh my gosh, the best baby year present right now..",H,4.571429,2.142857,3.571429,2.857143
MSP-IMPROV-S04H-F02-P-FM01,Hey..,H,4.0,3.0,3.0,3.2
MSP-IMPROV-S04H-F02-P-FM02,So many presents..,H,4.2,3.2,3.6,3.8
MSP-IMPROV-S04H-F02-P-FM03,he said i and.,H,3.6,4.0,1.8,3.6
MSP-IMPROV-S04H-F02-P-MF01,exactly an asinine.,N,2.833333,3.333333,2.666667,3.333333
MSP-IMPROV-S04H-F02-P-MF02,i.,N,3.2,4.2,1.8,4.4
MSP-IMPROV-S04H-F02-P-MF03,What would you say?.,N,3.428571,3.285714,3.0,3.571429
MSP-IMPROV-S04H-F02-S-FM01,"Hey Hey, wake up its Christmas..",H,4.8,2.6,3.4,3.0
MSP-IMPROV-S04H-F02-S-FM02,Yeah..,H,4.6,2.2,3.4,3.8
MSP-IMPROV-S04H-F02-S-MF01,What what what did you say?.,N,3.4,4.0,2.6,3.8
MSP-IMPROV-S04H-F02-S-MF02,Good presents..,H,4.333333,3.0,3.666667,3.333333
MSP-IMPROV-S04H-F02-S-MF03,Best Christmas ever..,H,4.428571,2.0,3.571429,3.571429
MSP-IMPROV-S04H-F03-P-FM01,"Ugh the Christmas morning, one..",N,3.333333,3.666667,3.0,3.666667
MSP-IMPROV-S04H-F03-P-FM02,"Was completely covered floor was completely covered? No, it's not it's not it was completely covered?.",N,3.333333,3.0,2.833333,3.0
MSP-IMPROV-S04H-F03-P-FM03,I was gonna be easy enough for making fun of you are right again..,H,3.833333,2.666667,3.333333,3.666667
MSP-IMPROV-S04H-F03-P-FM04,Hello..,H,4.166667,2.0,3.0,3.0
MSP-IMPROV-S04H-F03-P-FM05,Let's hope I get happy I get annoyed..,H,4.833333,1.833333,4.333333,4.833333
MSP-IMPROV-S04H-F03-P-FM06,Ask again..,H,4.2,4.6,3.0,4.2
MSP-IMPROV-S04H-F03-P-MF01,Hey getting proficient at this..,H,3.8,3.4,3.4,4.4
MSP-IMPROV-S04H-F03-P-MF02,But completely covered..,H,4.0,2.8,3.6,3.0
MSP-IMPROV-S04H-F03-P-MF03,"Oh, this is so awesome..Read in my life, though..Do you know?.",H,3.5,3.0,3.166667,3.166667
MSP-IMPROV-S04H-F03-P-MF04,"Oh, that's cool..And I are my brother..",H,3.833333,4.166667,2.833333,4.5
MSP-IMPROV-S04H-F03-P-MF05,Your silly..We can be rather fun OK..I'm gonna do it before I just can't project is it I already..,H,3.333333,2.833333,3.166667,3.833333
MSP-IMPROV-S04H-F03-P-MF06,Wake up..So excited..,H,4.714286,1.428571,4.0,3.714286
MSP-IMPROV-S04H-F03-P-MF07,Hope you will give you something that..Thank you..OK..,H,4.666667,1.666667,4.0,4.0
MSP-IMPROV-S04H-F03-P-MF08,I forgot..,H,3.6,2.8,3.0,3.8
MSP-IMPROV-S04H-F03-S-FM01,Alan halliwick up..,N,2.666667,3.166667,3.5,3.0
MSP-IMPROV-S04H-F03-S-FM02,Where is Christmas morning you have got to be the living room?.,H,3.555556,1.888889,3.777778,3.666667
MSP-IMPROV-S04H-F03-S-FM03,"Yeah, there a present everywhere the floor is completely covered..",X,3.2,3.0,3.6,2.6
MSP-IMPROV-S04H-F03-S-FM04,Alan hello wake up..,X,3.2,2.8,3.0,2.4
MSP-IMPROV-S04H-F03-S-FM05,"Come on, it's Christmas morning have got to see the living room..",H,4.2,2.4,3.6,3.8
MSP-IMPROV-S04H-F03-S-FM06,When is so many presidents were just there everywhere the floor was completely covered?.,H,3.5,3.333333,3.0,3.333333
MSP-IMPROV-S04H-F03-S-FM07,Alan Hella wake up..,N,3.0,2.875,3.0,2.875
MSP-IMPROV-S04H-F03-S-FM08,It's Christmas morning..,H,3.6,2.2,3.6,3.6
MSP-IMPROV-S04H-F03-S-FM09,You gotta see the living room..,H,3.5,2.166667,3.5,3.0
MSP-IMPROV-S04H-F03-S-FM10,Their presence everywhere..,N,2.8,2.6,3.4,2.6
MSP-IMPROV-S04H-F03-S-MF01,What do you want?.,N,2.4,2.8,3.0,3.6
MSP-IMPROV-S04H-F03-S-MF02,I haven't I'm sleeping..,N,2.666667,3.444444,3.0,3.222222
MSP-IMPROV-S04H-F03-S-MF03,"Well, what do you want?.",A,1.428571,2.428571,3.428571,4.0
MSP-IMPROV-S04H-F03-S-MF04,I love sleeping..,N,3.0,4.166667,2.833333,3.5
MSP-IMPROV-S04H-F03-S-MF05,"Go to go to the stairs, if you have you been done..",N,2.8,4.2,3.2,4.0
MSP-IMPROV-S04H-F03-S-MF06,Presents presents..,H,4.2,3.0,3.0,3.4
MSP-IMPROV-S04H-F04-P-FM01,the fort on leith every.,H,4.2,3.8,3.0,4.0
MSP-IMPROV-S04H-F04-S-FM01,Remember wake up..,H,4.5,2.0,3.833333,3.833333
MSP-IMPROV-S04H-F04-S-FM02,Because it's Christmas..,H,4.714286,2.142857,4.142857,4.714286
MSP-IMPROV-S04H-F04-S-MF01,Why it's early?.,S,1.5,4.333333,1.833333,2.833333
MSP-IMPROV-S04H-F04-S-MF02,The floor is completely cover..,N,2.6,4.4,2.0,2.2
MSP-IMPROV-S04H-F05-S-FM01,Terry wake up..,H,4.4,2.2,3.6,3.8
MSP-IMPROV-S04H-F05-S-FM02,It's Christmas presents..,H,5.0,1.8,4.2,3.2
MSP-IMPROV-S04H-F05-S-FM03,In present..,H,4.4,2.2,4.2,3.0
MSP-IMPROV-S04H-F05-S-FM04,No..,H,3.5,3.333333,3.0,4.166667
MSP-IMPROV-S04H-F05-S-MF01,Alright..,N,3.0,3.333333,3.0,3.833333
MSP-IMPROV-S04H-F05-S-MF02,How many president?.,H,4.0,4.0,3.6,3.8
MSP-IMPROV-S04H-F05-S-MF03,Every morning.,X,2.0,3.714286,3.0,4.0
MSP-IMPROV-S04H-F05-S-MF04,How many presidents?.,N,3.333333,3.166667,3.166667,3.166667
MSP-IMPROV-S04H-F05-S-MF05,That's cool. I want Microsoft..,N,3.0,3.8,2.2,3.8
MSP-IMPROV-S04H-M01-P-FM01,What Christmas?.,N,2.8,3.2,2.4,3.0
MSP-IMPROV-S04H-M01-P-MF01,"I'll be waking up again, I will try not to be as loud..",O,2.6,3.8,2.2,3.4
MSP-IMPROV-S04H-M01-S-FM01,What downstairs with the presence are?.,N,2.8,3.8,3.2,4.0
MSP-IMPROV-S04H-M01-S-FM02,OK let's do it..,H,3.6,4.0,3.2,3.0
MSP-IMPROV-S04H-M01-S-MF01,Hey wake up wake up..,O,3.0,3.75,2.75,3.5
MSP-IMPROV-S04H-M01-S-MF02,It's Christmas..,O,3.0,2.8,2.8,3.0
MSP-IMPROV-S04H-M01-S-MF03,"Yeah, let's go come on..",N,2.6,3.4,2.6,3.4
MSP-IMPROV-S04H-M02-P-FM01,i.,H,4.0,3.6,3.0,4.4
MSP-IMPROV-S04H-M02-P-FM02,Oh my goodness..,X,2.6,3.2,3.2,2.8
MSP-IMPROV-S04H-M02-P-FM03,that's exciting.,H,3.666667,4.333333,3.166667,4.0
MSP-IMPROV-S04H-M02-P-MF01,You should I go to farm..,X,3.666667,4.0,3.166667,4.666667
MSP-IMPROV-S04H-M02-P-MF02,Everywhere..,N,3.0,3.2,2.8,2.2
MSP-IMPROV-S04H-M02-S-FM01,Anything..,N,3.0,4.0,2.8,2.8
MSP-IMPROV-S04H-M02-S-MF01,"Hey Hey, Hey, wake up wake up..",H,3.8,2.6,3.6,3.4
MSP-IMPROV-S04H-M02-S-MF02,"I just I just went downstairs, I will call around and you'll never guess..",H,3.833333,2.666667,3.0,3.5
MSP-IMPROV-S04H-M02-S-MF03,Presence..,H,4.4,3.4,3.8,4.0
MSP-IMPROV-S04H-M03-P-FM01,i.,H,4.333333,3.0,3.833333,4.166667
MSP-IMPROV-S04H-M03-P-FM02,Happy..,H,4.8,2.0,4.0,4.4
MSP-IMPROV-S04H-M03-P-FM03,apparently a screaming.,H,4.142857,3.0,3.571429,4.142857
MSP-IMPROV-S04H-M03-P-FM04,on.,H,4.833333,2.333333,3.833333,4.5
MSP-IMPROV-S04H-M03-P-MF01,Yeah..,H,4.166667,2.5,3.333333,4.166667
MSP-IMPROV-S04H-M03-P-MF02,peter.,H,4.0,3.0,3.4,3.4
MSP-IMPROV-S04H-M03-P-MF03,Yeah..,H,3.833333,3.666667,3.333333,4.0
MSP-IMPROV-S04H-M03-P-MF04,Bring you something..My brother..,H,2.8,2.8,3.4,3.8
MSP-IMPROV-S04H-M03-P-MF05,How do you OK?.,H,4.4,2.6,4.2,4.4
MSP-IMPROV-S04H-M03-P-MF06,Wake up..,H,4.5,2.5,3.333333,4.833333
MSP-IMPROV-S04H-M03-S-FM01,"Why, what is it?.",A,2.4,3.4,3.0,4.6
MSP-IMPROV-S04H-M03-S-FM02,It's Christmas all have problems..,H,3.666667,3.5,3.333333,3.5
MSP-IMPROV-S04H-M03-S-FM03,What is it?.,X,3.2,4.6,3.0,3.8
MSP-IMPROV-S04H-M03-S-FM04,We have presence..,H,3.2,4.0,2.4,3.0
MSP-IMPROV-S04H-M03-S-FM05,When is it?.,X,2.2,3.8,2.6,3.4
MSP-IMPROV-S04H-M03-S-FM06,Oh..,H,4.0,3.666667,3.333333,4.166667
MSP-IMPROV-S04H-M03-S-FM07,Where do we have presents?.,X,4.2,2.8,3.4,4.0
MSP-IMPROV-S04H-M03-S-MF01,Wake up wake up come on..,X,3.5,2.666667,3.5,3.0
MSP-IMPROV-S04H-M03-S-MF02,Christmas is Christmas Day have you been?.,H,4.6,2.0,3.8,3.6
MSP-IMPROV-S04H-M03-S-MF03,The floor is completely covered..,H,4.4,3.0,3.8,3.8
MSP-IMPROV-S04H-M03-S-MF04,Wake up wake up..,H,3.833333,2.666667,3.833333,2.666667
MSP-IMPROV-S04H-M03-S-MF05,Christmas morning..,H,4.4,3.0,3.8,4.2
MSP-IMPROV-S04H-M03-S-MF06,come on get out says.,H,3.666667,3.833333,2.666667,4.0
MSP-IMPROV-S04H-M03-S-MF07,Present..,H,4.0,2.833333,3.666667,3.666667
MSP-IMPROV-S04H-M04-P-FM01,the.,N,2.6,4.2,2.6,3.8
MSP-IMPROV-S04H-M04-S-FM01,It's 6 in the morning why you up so early..,A,1.8,2.8,3.6,2.4
MSP-IMPROV-S04H-M04-S-FM02,How many Presidents I can't wait?.,H,4.5,2.166667,3.833333,3.166667
MSP-IMPROV-S04H-M04-S-MF01,Hey wake up come to the living room room with me..,H,2.6,2.8,3.0,3.4
MSP-IMPROV-S04H-M04-S-MF02,Come on their presence..,H,3.833333,3.0,3.666667,4.166667
MSP-IMPROV-S04H-M04-S-MF03,When I was there earlier..,N,2.833333,3.666667,3.166667,3.833333
MSP-IMPROV-S04H-M05-P-MF01,"OK..Yeah, tell him I told him..",H,3.833333,3.0,3.333333,4.333333
MSP-IMPROV-S04H-M05-P-MF02,Extra..,N,3.2,4.2,2.8,3.6
MSP-IMPROV-S04H-M05-P-MF03,Very low..,H,3.5,1.833333,4.0,2.833333
MSP-IMPROV-S04H-M05-P-MF04,the.,X,3.5,3.666667,3.166667,4.166667
MSP-IMPROV-S04H-M05-S-FM01,"Oh my God, what's wrong..",N,3.333333,3.0,2.833333,3.833333
MSP-IMPROV-S04H-M05-S-FM02,"Oh, how many presidents..",N,3.0,3.333333,2.5,3.833333
MSP-IMPROV-S04H-M05-S-FM03,Awesome now..,H,3.166667,3.833333,2.666667,4.0
MSP-IMPROV-S04H-M05-S-FM04,i hope.,H,3.8,3.4,3.0,4.6
MSP-IMPROV-S04H-M05-S-MF01,Jelly Jelly Jelly Jelly Jelly right now..,H,4.0,1.4,4.0,2.6
MSP-IMPROV-S04H-M05-S-MF02,"Oh my God, there's a present for Christmas..Damn..",H,4.6,2.4,3.6,2.8
MSP-IMPROV-S04H-M05-S-MF03,The floor was completely covered..,H,4.285714,1.571429,4.142857,4.0
MSP-IMPROV-S04H-M05-S-MF04,Dodo dodo dodo wake up..,H,4.333333,1.666667,3.666667,3.666667
MSP-IMPROV-S04H-M05-S-MF05,"It's Christmas morning, there's blood everywhere in Sanik Avenue..",H,4.142857,1.571429,4.142857,3.428571
MSP-IMPROV-S04N-F01-P-FM01,i oh we did a lot of painting to day i think the kindliest.,N,3.4,4.2,2.6,3.2
MSP-IMPROV-S04N-F01-P-FM02,"Oh Yeah, but the floor is completely covered with plastic..",N,3.2,4.4,2.8,4.0
MSP-IMPROV-S04N-F01-P-MF01,as you like how is your first day of hanging.,N,3.2,4.6,2.0,4.4
MSP-IMPROV-S04N-F01-S-FM01,Presents we gotta go downstairs..,N,3.2,4.2,3.2,3.6
MSP-IMPROV-S04N-F01-S-FM02,So it wasn't a big deal..,N,3.2,4.4,2.6,4.4
MSP-IMPROV-S04N-F01-S-MF01,How is your first day of teaching?.,H,4.0,3.8,3.4,3.6
MSP-IMPROV-S04N-F01-S-MF02,"Cool, oh..Your old how did you keep the paint from going everywhere?.",H,4.2,3.0,3.2,3.2
MSP-IMPROV-S04N-F02-P-FM01,what.,N,2.6,4.4,2.4,3.4
MSP-IMPROV-S04N-F02-P-MF01,Will you take your kids to school today?.How do you make sure they don't get paid over the floors and stuff?.,N,3.166667,4.333333,2.5,3.0
MSP-IMPROV-S04N-F02-S-FM01,"I'll be working in the art project, you know just little finger painting..",N,3.0,4.0,3.0,3.833333
MSP-IMPROV-S04N-F02-S-FM02,"Oh, no well, you see..",N,3.0,3.8,2.8,3.2
MSP-IMPROV-S04N-F02-S-FM03,We lay down some tarps and it kept all the paint off the floor..,N,3.0,3.4,3.4,3.4
MSP-IMPROV-S04N-F02-S-MF01,So would you take your kids school today?.,N,2.666667,4.5,2.666667,2.833333
MSP-IMPROV-S04N-F02-S-MF02,"Oh, how do you make sure the painting and get all over the floor?.",N,2.777778,3.555556,3.25,2.555556
MSP-IMPROV-S04N-F02-S-MF03,OK..,H,3.8,3.2,3.4,4.0
MSP-IMPROV-S04N-F02-S-MF04,So what did your kids today..,X,3.833333,4.0,3.0,3.0
MSP-IMPROV-S04N-F02-S-MF05,"OK, well. How do you make sure you didn't get paint all over the floor?.",N,3.0,3.8,3.0,4.2
MSP-IMPROV-S04N-F03-P-FM01,"OK, so bad..",N,3.166667,3.666667,2.833333,3.833333
MSP-IMPROV-S04N-F03-P-MF01,OK..,N,3.166667,4.833333,3.0,4.666667
MSP-IMPROV-S04N-F03-S-FM01,"Oh yeah, middle class are precious..",H,4.285714,2.285714,3.714286,4.0
MSP-IMPROV-S04N-F03-S-FM02,Out today on that is great project with macaroni art in pain..,H,4.2,3.0,3.6,4.4
MSP-IMPROV-S04N-F03-S-FM03,"Yeah, they just finger painting so..",N,3.6,3.6,3.2,4.0
MSP-IMPROV-S04N-F03-S-FM04,"It was a bit of a mess, I mean?.",N,2.4,3.8,3.0,4.4
MSP-IMPROV-S04N-F03-S-MF01,So Alan what did you do today?.,N,2.6,3.6,2.8,2.0
MSP-IMPROV-S04N-F03-S-MF02,"Oh, that sounds like fun in kinda messing with a bunch of 5 year olds..",H,4.0,3.0,3.6,4.6
MSP-IMPROV-S04N-F03-S-MF03,How did you keep them from getting it all over the floor?.,N,3.0,4.125,3.25,4.0
MSP-IMPROV-S04N-F04-P-FM01,as it again .,H,4.4,3.0,3.4,4.8
MSP-IMPROV-S04N-F04-P-FM02,I like you something OK..,N,3.8,4.2,2.8,4.2
MSP-IMPROV-S04N-F04-P-MF01,he.,H,3.166667,3.666667,3.166667,4.166667
MSP-IMPROV-S04N-F04-S-FM01,How long will painting?.,H,4.6,3.8,3.4,4.6
MSP-IMPROV-S04N-F04-S-FM02,"Oh, we like when across and we all in painting..",H,4.4,4.0,3.6,4.0
MSP-IMPROV-S04N-F04-S-MF01,Our house key chain every little thing?.,H,4.6,3.8,3.4,3.2
MSP-IMPROV-S04N-F04-S-MF02,the forest completely covered.,H,4.0,4.2,3.8,5.0
MSP-IMPROV-S04N-F05-P-FM01,In newspaper..,H,4.4,3.6,3.2,3.6
MSP-IMPROV-S04N-F05-S-FM01,Sorry I had the kids pants with you get some to shut up for a couple hours..,N,2.5,4.166667,2.833333,3.833333
MSP-IMPROV-S04N-F05-S-FM02,"No, the floor was completely covered..",N,2.8,3.4,3.4,3.8
MSP-IMPROV-S04N-F05-S-FM03,"Yeah, they were actually quiet today coz I got them to paint..",N,3.166667,4.0,3.166667,3.666667
MSP-IMPROV-S04N-F05-S-FM04,The newspaper..,N,3.2,3.8,3.2,4.6
MSP-IMPROV-S04N-F05-S-MF01,So how did you take some with shapes or?.,N,3.4,4.2,2.6,4.2
MSP-IMPROV-S04N-F05-S-MF02,On the floor..,N,2.8,3.8,3.8,4.6
MSP-IMPROV-S04N-F05-S-MF03,So what do you do to teach the children?.,N,3.2,3.6,3.4,4.0
MSP-IMPROV-S04N-F05-S-MF04,And that works at making a mess..,N,3.2,3.6,3.2,4.2
MSP-IMPROV-S04N-M01-P-FM01,gaston moleskin he perceived each one.,N,3.285714,4.571429,2.285714,3.857143
MSP-IMPROV-S04N-M01-P-FM02,I don't..,N,2.8,4.8,2.4,3.4
MSP-IMPROV-S04N-M01-P-MF01,for with completely covered.,N,2.666667,4.833333,2.166667,3.333333
MSP-IMPROV-S04N-M01-S-FM01,So how was your first day of teaching?.,N,3.0,4.6,3.2,3.6
MSP-IMPROV-S04N-M01-S-FM02,"I mean, those kids are pretty hyper didn't get everywhere..",N,3.0,3.2,3.2,3.6
MSP-IMPROV-S04N-M01-S-FM03,That's good..,N,3.6,4.0,3.2,3.4
MSP-IMPROV-S04N-M01-S-MF01,How is great the kids are awesome? We did some painting class?.,H,3.0,3.4,2.6,2.8
MSP-IMPROV-S04N-M02-P-MF01,04..,N,2.8,4.2,2.2,2.8
MSP-IMPROV-S04N-M02-S-FM01,So what you doing today?.,N,2.833333,3.666667,2.5,3.5
MSP-IMPROV-S04N-M02-S-FM02,00..Did they get stuff everywhere?.,N,2.875,3.5,3.125,3.625
MSP-IMPROV-S04N-M02-S-MF01,Art stuff..,N,2.8,4.0,2.8,3.2
MSP-IMPROV-S04N-M02-S-MF02,"Oh, well, the floor is completely covered..",N,3.0,4.2,2.6,3.6
MSP-IMPROV-S04N-M02-S-MF03,I'm really smart stuff nothing really to much..,N,3.0,4.0,2.571429,3.857143
MSP-IMPROV-S04N-M03-S-FM01,Phone you don't you stop eating right..,N,3.0,3.714286,3.285714,4.428571
MSP-IMPROV-S04N-M03-S-FM02,Will do today?.,N,3.2,3.6,3.2,4.4
MSP-IMPROV-S04N-M03-S-FM03,No way..,H,4.2,3.2,3.6,3.8
MSP-IMPROV-S04N-M03-S-FM04,It sounds like it a message..,H,3.6,3.8,2.8,4.4
MSP-IMPROV-S04N-M03-S-MF01,I will we did like I like a painting today..,N,3.166667,4.166667,3.166667,3.833333
MSP-IMPROV-S04N-M03-S-MF02,"Yeah, no..Bing everything everywhere you know..",N,3.6,4.2,3.0,3.8
MSP-IMPROV-S04N-M04-P-FM01,Sorry..,N,2.8,4.0,2.2,3.6
MSP-IMPROV-S04N-M04-P-FM02,Should ask about the painting or?.,N,3.0,4.2,2.6,2.4
MSP-IMPROV-S04N-M04-P-FM03,OK..,N,3.0,4.0,2.166667,4.666667
MSP-IMPROV-S04N-M04-P-FM04,and i.,N,3.285714,4.428571,2.571429,4.0
MSP-IMPROV-S04N-M04-S-FM01,It's so great to see you again and I know your teacher now are just curious but what did you do today with the kids?.,H,4.2,3.2,3.4,3.2
MSP-IMPROV-S04N-M04-S-FM02,Um listen so great to see you again. I know you're a teacher now aren't you just curious but what to do today with the kids..,N,3.5,3.875,3.25,2.375
MSP-IMPROV-S04N-M04-S-FM03,ha ha must have been matsyas it.,H,4.166667,3.666667,3.166667,2.833333
MSP-IMPROV-S04N-M04-S-MF01,"Now it's great that they re fingerprinted but it's OK, the Florida get hurt..",N,3.8,3.8,3.0,3.4
MSP-IMPROV-S04N-M05-P-FM01,oh at the heart at.,N,3.0,4.6,2.6,3.8
MSP-IMPROV-S04N-M05-P-FM02,OK..,H,4.4,2.2,3.4,4.6
MSP-IMPROV-S04N-M05-P-FM03,I really.,N,3.333333,4.0,2.833333,4.666667
MSP-IMPROV-S04N-M05-P-FM04,Oh yeah..,H,4.6,2.8,3.6,5.0
MSP-IMPROV-S04N-M05-P-FM05,I said the wall and floors..,H,3.8,3.0,3.6,3.6
MSP-IMPROV-S04N-M05-P-MF01,"Yep, no, I didn't..",H,4.666667,2.5,3.666667,4.666667
MSP-IMPROV-S04N-M05-S-FM01,What do you like over the walls in the floor?.,N,3.0,4.0,3.0,4.6
MSP-IMPROV-S04N-M05-S-FM02,In pain..,N,2.833333,3.666667,2.833333,3.666667
MSP-IMPROV-S04N-M05-S-FM03,Over the wall and the floors..,N,2.4,3.8,3.2,3.8
MSP-IMPROV-S04N-M05-S-FM04,and paint.,N,3.166667,3.166667,3.166667,3.333333
MSP-IMPROV-S04N-M05-S-FM05,OK..,H,3.833333,3.5,3.333333,3.666667
MSP-IMPROV-S04N-M05-S-MF01,"Well, I haven't taken specific color and they use that color to paint a specific shape..",N,2.833333,4.0,3.166667,3.5
MSP-IMPROV-S04N-M05-S-MF02,"No, no, the floor was completely covered..",N,2.833333,3.5,3.0,4.0
MSP-IMPROV-S04N-M05-S-MF03,Well today is having finger paint with the colors..,N,2.833333,3.666667,3.166667,4.333333
MSP-IMPROV-S04N-M05-S-MF04,"Well, you know, I put some stuff on the wall apatar button..",N,3.0,3.833333,3.0,4.166667
MSP-IMPROV-S04S-F01-P-FM01,and the floor was completely covered.,N,2.833333,4.166667,2.333333,3.5
MSP-IMPROV-S04S-F01-P-MF01,in a antiquarian to any.,N,3.0,4.0,2.5,4.0
MSP-IMPROV-S04S-F01-S-FM01,My Friend House got broken into the other day and why Robert and he was shot..Bad..,S,1.333333,3.0,2.0,2.0
MSP-IMPROV-S04S-F01-S-FM02,"Well, I Mean II went to the scene of the crime..",S,1.6,3.0,2.4,3.4
